Topology Name,Number of Nodes,Number of Edges,Average Node Degree,Normalized Average Node Degree,Diameter (hops),Edge Density (Physical Connectivity),Average Shortest Path Length (Hops),Standard Deviation of Shortest Path Length (Hops),Average Clustering Coefficient,Standard Deviation of Clustering Coefficient,Minimum Node Betweenness Centrality,Maximum Node Betweenness Centrality,Average Node Betweenness Centrality,Minimum Edge Betweenness Centrality,Maximum Edge Betweenness Centrality,Average Edge Betweenness Centrality,Global Efficiency,Graph Center (Nodes),Number of Graph Center Nodes,Graph Periphery (Nodes),Number of Graph Periphery Nodes,Absolute Spectral Radius (Weighted Adjacency Matrix),Normalized Spectral Radius (Un-weighted Adjacency Matrix),Normalised Spectral Radius (Normalized Laplacian),Absolute Algebraic Connectivity,Normalised Algebraic Connectivity (Normalized Laplacian),"Normalised Weighted Spectral Distribution (Normalized Laplacian, K=40, N=4)",Absolute Laplacian Spectra,Normalised Laplacian Spectrum (Normalized Laplacian),Absolute Average Link Length (km),Absolute Standard Deviation of Link Length (km),Absolute Diameter (Link Lengths(km)),Absolute Average Shortest Path Length (Link Lengths(km)),Absolute Standard Deviation of Shortest Path Length (Link Lengths(km)),Normalized Average Link Length ,Coefficient of Variation of Normalized Average Link Length,Normalized Diameter (Link Lengths),Normalized Average Shortest Path Length (Link Lengths),Coefficient of Variation of Normalized Average Shortest Path Length (Link Lengths),Has Bridges,Is Planar,Is Connected
SANET,46,55,2.391304347826087,0.05314009661835749,13,0.05314009661835749,5.440579710144927,2.708208251679983,0.10507246376811595,0.25565747307926057,0.0,0.3582154882154882,0.10092226613965745,0.015942028985507246,0.26389694041867956,0.09891963109354415,0.2630638899479467,"[14, 15, 16, 18, 38]",5,"[25, 41, 46]",3,122.64407105131036,0.5041163702484527,1.957336584053267,1.58476172721028,0.023308923004000996,(0.23147946671195663+0j),"[1.4856016525253034e-14, 1.5847617272101615, 4.464619318971859, 5.370763373882942, 6.90083313159675, 7.727487195012482, 7.946718248557599, 9.911006004592346, 10.618681632713939, 11.11565942554696, 11.759478920229773, 16.07973564084847, 17.304131202908632, 19.97352312170076, 21.142155693351768, 28.09336324851057, 29.691654395047486, 32.63758755849033, 36.407821362166985, 37.4281511525894, 44.57037623470583, 50.2514140890116, 52.004388763893076, 52.880514742533656, 53.8850157167394, 63.82975176046474, 68.07558080063504, 75.9333143187283, 80.97148728421129, 81.66717506206696, 87.42713570678625, 107.55257106051839, 109.72699397561146, 111.25020642216813, 120.82036118371329, 126.82207815714206, 128.3501057261357, 136.63832100390013, 145.6633085963716, 169.264845968409, 180.12990059220482, 209.15515759171274, 214.0819411410211, 245.57767946476474, 250.04520196968733, 295.26704031293445]","[0.0, 0.02330892300400103, 0.06323221201456773, 0.10824879065097937, 0.14690860461926428, 0.1825515447286988, 0.20615904405680968, 0.2315066545920489, 0.2870997424985971, 0.3047864488715182, 0.4247358057771829, 0.4827673594025381, 0.5313701760135837, 0.5430425825566042, 0.5820735164392107, 0.6144535673146356, 0.7668410755348651, 0.7911839149537989, 0.8666107944365264, 0.893534208526244, 0.9412120895524257, 0.9999999999999992, 0.9999999999999998, 1.0000000000000002, 1.0000000000000002, 1.111698640146868, 1.1180714884210607, 1.2424738797128883, 1.3185717216693464, 1.3429316825132585, 1.3909266941344955, 1.4233196786797897, 1.45045456436688, 1.5090425186912564, 1.5534725616560423, 1.589297065442625, 1.62438158560772, 1.6657803998152463, 1.6841986572003171, 1.729254318893923, 1.7871832728486934, 1.821499138568938, 1.8441993926293443, 1.9140229951409737, 1.93025610426296, 1.957336584053264]",32.527272727272724,15.149982952831147,473.0,203.24444444444444,114.12317989363912,0.01818181818181818,0.4657624719987217,0.26439351593068755,0.11360785044407179,0.5615070080050033,1,1,1
CORONET,60,79,2.6333333333333333,0.04463276836158192,15,0.04463276836158192,6.084180790960452,3.0257330495416546,0.008333333333333333,0.03632415786283894,0.0018507695304889925,0.3875854647333314,0.08765828949931814,0.007953546767106091,0.23611604340417908,0.07701494672101837,0.23855685745516383,"[11, 27, 52]",3,"[8, 41, 48, 49]",4,3009.890251887306,0.7511747557482592,1.958676559185208,15.180808030113537,0.017729066335261588,(0.2720761197916668+0j),"[-3.4106085503717223e-13, 15.180808030103913, 36.138939267617495, 65.89341596633714, 83.06606042626308, 101.41367635164703, 146.9092361298064, 150.19624814935483, 171.70391062871565, 181.32804352837758, 207.13863279100886, 233.22432031406174, 268.2899390417563, 285.80947532918685, 304.5724680562703, 356.4797927434066, 395.6403494042293, 431.40901841846784, 457.4187322994605, 498.62678588117745, 561.7035397086856, 619.8984889125586, 656.4478251551611, 670.6173076280071, 712.9796830616636, 736.5242242975394, 788.5850051710814, 923.5604810324403, 937.6078766108532, 962.0818972965465, 982.9146215726009, 1024.0644455107056, 1128.8552166072016, 1207.868133055247, 1263.301737614497, 1274.012091512023, 1372.2806186008056, 1399.759118701565, 1468.5632654664566, 1563.3440652074962, 1605.417784927405, 1845.4948283813906, 1913.6911600789647, 1958.7458069837137, 2074.291378323895, 2097.1426070463976, 2137.524726167471, 2303.3374778179486, 2527.320212985146, 2671.1639808163145, 2768.003405872062, 2951.470200878195, 3043.3395704218588, 3283.115471315972, 3313.6179040443894, 3984.693285729123, 4020.781331166797, 4903.482431024895, 5352.560166997033, 6530.9133273608695]","[0.0, 0.017729066335261015, 0.03150581100135659, 0.08178348097735046, 0.09499037404485927, 0.11322660459185113, 0.15591287290307101, 0.17373248430729699, 0.19339745813893103, 0.20558389425962553, 0.2271500511740219, 0.25456895331466445, 0.3179496259722438, 0.34492270132698355, 0.36034466658598274, 0.40531724180171474, 0.4332020227609857, 0.45915264881217915, 0.4975062413646363, 0.5478184335748777, 0.5845706234702158, 0.6152110808150782, 0.6979467801986936, 0.7304564094066075, 0.8250730291448602, 0.870676957148211, 0.9190145068478343, 0.9723613059215789, 0.9752721852246413, 0.9990446862909215, 1.0406093562139147, 1.0495416681161776, 1.0595101783578549, 1.1136520063395385, 1.1629724596684297, 1.1717900075184442, 1.2469959266991204, 1.3013004453993784, 1.3148880633734679, 1.4379958327014446, 1.45009125400989, 1.514493406884011, 1.52837281411318, 1.5417416473991121, 1.553966135467057, 1.647120814026333, 1.6569663259399552, 1.6917844750926307, 1.739193613743113, 1.7670851702832293, 1.7782984331859195, 1.834270739338159, 1.845890506623314, 1.8705008289151261, 1.8939782617880665, 1.906189550795058, 1.9285889526450737, 1.9359524605367662, 1.9521599079244853, 1.9586765591851982]",543.8703579355711,365.08028618716236,8109.940361982245,3270.9201317462775,1882.6364265903553,0.012658227848101267,0.6712634378033361,0.18875357231482973,0.07612853264838287,0.5755678374162118,0,1,1
CERNET,36,51,2.8333333333333335,0.08095238095238096,5,0.08095238095238096,3.085714285714286,1.0993298308958532,0.5044753086419753,0.4737826453007375,0.0,0.5466386554621849,0.061344537815126055,0.0015873015873015873,0.2526455026455026,0.06050420168067226,0.38828042328042023,"[11, 15]",2,"[1, 3, 4, 5, 8, 9, 19, 20, 22, 23, 27, 28, 30, 31, 33, 34, 35]",17,4983.515995473743,0.41970768544729964,1.8773843922866098,136.51150773977264,0.07918604822894625,(0.16036948784722216+0j),"[-1.0231815394945443e-12, 136.51150773974646, 209.71495261367627, 278.62751490633775, 357.0548511789942, 387.6033511550338, 394.26708401169685, 458.1015079853195, 488.3062868692741, 525.9457432248207, 597.6995387067435, 636.8663625152976, 838.0835756654498, 928.6776365156463, 1014.5171098068582, 1105.4196594154805, 1162.1067358886505, 1244.7206691960243, 1371.1196211742051, 1481.5840543153936, 1625.52633838026, 1649.8750688155476, 1658.6787481240835, 1903.2861343931613, 2173.814559655742, 2303.9181910316624, 2397.226296231157, 2926.114726252806, 3433.0806391592537, 4346.603367255151, 5369.82928742247, 5694.744102362345, 6575.507633901198, 8856.58177520807, 9203.127965582384, 13522.558392624236]","[0.0, 0.07918604822894591, 0.14458100479447045, 0.19157634142870741, 0.22552250150422593, 0.2839727675600616, 0.37772604949053207, 0.4398840576085835, 0.5467752081935454, 0.6069090785344963, 0.6204844335137475, 0.638245244567149, 0.8362941448604732, 0.889101117865607, 0.9903617201223498, 0.9999999999999987, 0.9999999999999992, 0.9999999999999996, 1.0000000000000002, 1.0000000000000007, 1.217173182626941, 1.2668562788073057, 1.2724123635622961, 1.2986585056255653, 1.3932236065783103, 1.4223261180599382, 1.429502031518714, 1.4533178155580972, 1.497384548195803, 1.5329746491675216, 1.5786047186659868, 1.645510141791484, 1.6809000479194605, 1.7332042294137906, 1.8299476519492708, 1.8773843922866156]",855.4647155812175,587.7323533671569,7308.848544935447,2965.1101120369663,1485.0602279309817,0.0196078431372549,0.6870328403525577,0.16752386530130606,0.06796237518926566,0.5008448832649852,1,1,1
PIONIER,21,25,2.380952380952381,0.11904761904761904,7,0.11904761904761904,3.3333333333333335,1.4714208660608852,0.0,0.0,0.02368421052631579,0.4921052631578947,0.12280701754385966,0.04285714285714286,0.3190476190476191,0.13333333333333336,0.39291383219954634,"[12, 13, 18]",3,"[2, 3, 4, 21]",4,653.6613318469354,0.6534894519605075,1.945609926385718,28.45770746919606,0.07177435573374036,(0.2260478906250001+0j),"[-1.012940184024933e-13, 28.457707469195512, 59.7641449036446, 97.64586501502535, 138.2966472574191, 156.71420653384376, 177.26404498980682, 204.63389713120148, 232.11055467822052, 258.70920214970243, 338.819178864679, 400.9316630818766, 438.24846031177486, 497.3922862499042, 533.3453246538639, 582.8154468912726, 715.4082027184514, 787.951338475318, 886.7597582472171, 1065.8687409247877, 1559.303329452794]","[0.0, 0.07177435573374052, 0.18353619817207673, 0.28914899117886783, 0.3436558374666454, 0.4244269768120753, 0.5341042041599087, 0.6029183002647216, 0.6778077945048255, 0.8282488014441048, 1.038701331525672, 1.1857129319327093, 1.3380518315953722, 1.3900020024753683, 1.4227200448407695, 1.4818456661680035, 1.6703893796498404, 1.7429519657690402, 1.8948185594432765, 1.9335749004772658, 1.945609926385719]",183.2088,79.89211145388511,1439.58,618.4261428571439,322.120515065292,0.039999999999999994,0.43607136477006075,0.31430367973590784,0.1350210563809476,0.5208714391941572,0,1,1
GEANT,22,36,3.272727272727273,0.15584415584415584,5,0.15584415584415584,2.5324675324675323,0.988037745538194,0.11525974025974027,0.28877211019758814,0.0,0.4164965986394558,0.07662337662337665,0.012987012987012988,0.18377654091939802,0.07034632034632034,0.4792207792207804,"[1, 5, 16]",3,"[2, 6, 9, 12, 14, 18, 21]",7,11230.191270682146,0.5124950360457357,1.9236646882122255,232.81273017591104,0.15281623045953685,(0.19238022017045453+0j),"[1.5707723241954828e-12, 232.81273017587787, 419.359022240851, 494.2827702361566, 677.1753623898925, 989.0499766755311, 1105.65332264907, 1279.6835226211592, 1480.7494739514111, 1815.6586654928674, 1895.546039721763, 2063.0680476539624, 2482.9768690439078, 3121.25308343368, 3672.061015787092, 4741.510612859986, 5366.481417959346, 7750.6168113636195, 10045.599227301234, 12393.005495955213, 13096.939571599032, 24866.83201220697]","[0.0, 0.15281623045953635, 0.27288462914004236, 0.33491425584390316, 0.3840904698326553, 0.5300908852920315, 0.6137948164370162, 0.6632609764150028, 0.7461335629591039, 0.912307373657867, 0.9899889111142345, 1.0890489881776992, 1.1663339601860137, 1.2219386311119242, 1.3109985389358727, 1.341181654818737, 1.4582427511542329, 1.5698111265954182, 1.7092259059634518, 1.7574506132659264, 1.8518210304271028, 1.923664688212225]",1388.7543757127587,1768.2400156134313,11616.147272616516,2775.7491108546346,2247.2669063891267,0.027777777777777776,1.2732561254440022,0.23234544798973164,0.05552035933540204,0.8096073588211321,0,0,1
ELIBACKBONE,20,30,3.0,0.15789473684210525,6,0.15789473684210525,2.8526315789473684,1.2729445438173452,0.21999999999999997,0.3143600200760622,0.0,0.3695906432748537,0.10292397660818711,0.02368421052631579,0.2685964912280701,0.09508771929824561,0.4514035087719304,"[1, 2, 3, 4, 15, 16, 17]",7,"[6, 8, 9, 11, 13]",5,4729.409988464988,0.5922914299249804,1.919757889075056,265.8659025047708,0.10051356125758124,(0.21938789062500008+0j),"[2.7498003873914843e-12, 265.86590250475655, 373.0206772745028, 502.57262924625434, 720.8318535992903, 1129.9322189304714, 1256.106397088719, 1745.2626684593283, 1900.2210727680629, 2291.588176707984, 2307.671785768452, 2745.9127020843075, 2817.72577166765, 3419.084738512144, 4138.82774245984, 4621.024831177039, 5527.408059762545, 7854.483793952491, 9032.298344933024, 10745.90163067454]","[0.0, 0.1005135612575799, 0.2102590198387975, 0.23608805163748725, 0.39641188612245637, 0.6350678031837085, 0.6639204918655756, 0.6988574390729808, 0.9107695714222824, 0.9899864745034568, 1.0333192318744782, 1.1776766598169788, 1.316779977691294, 1.4400861574625716, 1.4715507887552681, 1.6061439854116435, 1.6511303654293532, 1.6890897105499156, 1.8525909350291236, 1.9197578890750504]",1056.5956832928566,683.7918422654527,6876.792705298374,3164.056629434031,1848.393526740708,0.03333333333333333,0.6471650916975459,0.21694809768251827,0.0998192174946024,0.5841847170324946,0,1,1
NOEL,19,25,2.6315789473684212,0.14619883040935674,6,0.14619883040935672,2.91812865497076,1.2724103414445946,0.11052631578947367,0.2649180898631103,0.0,0.5489106753812636,0.11283109735122121,0.017543859649122806,0.26900584795321636,0.1167251461988304,0.4392787524366472,"[1, 3, 4, 10, 11, 16]",6,"[5, 8, 13, 14, 18]",5,746.8941344035222,0.555600387012641,1.9471853672555208,29.895963272756713,0.1670325553270393,(0.19646848273026318+0j),"[-1.4979684555323503e-13, 29.89596327275489, 45.42759158588958, 60.8822620520141, 96.76632555443726, 114.22217811183167, 127.20326333871826, 159.59762729865545, 195.31944363830638, 223.70234598836734, 261.36702909743235, 312.30585372924037, 354.0644333714679, 467.9189123383497, 497.7712174275798, 885.0136840750985, 1097.7436203679736, 1198.545128524465, 1748.3423420113377]","[0.0, 0.1670325553270381, 0.24530735548657134, 0.42383780284353856, 0.5196988757762975, 0.622392463473984, 0.7723118675635642, 0.8040598454653068, 0.8496315594790371, 0.9489924818649002, 1.0479436121478145, 1.2019568741333027, 1.296880825614198, 1.426656130215777, 1.541560721717317, 1.5821454783063682, 1.7332579774007622, 1.8691482059287003, 1.9471853672555193]",157.52178443567837,109.39352370407701,1120.89801017255,486.4662094604975,267.6326181811807,0.039999999999999994,0.6944660009787167,0.28463314180655475,0.12352988793347208,0.5501566459836781,1,1,1
DARKSTRAND,28,31,2.2142857142857144,0.08201058201058202,11,0.082010582010582,4.862433862433862,2.3820573567646997,0.0,0.0,0.025641025641025644,0.4031339031339031,0.1485551485551486,0.048941798941798946,0.3267195767195767,0.156852705239802,0.2981934805347494,[2],1,"[18, 19, 23]",3,2010.2827494125518,0.7792379280452666,1.9775310083261421,54.377023241042686,0.03922866761023976,(0.32515864955357165+0j),"[1.3255791758431006e-13, 54.37702324103974, 113.74657870055977, 178.8595158525819, 223.50049438576676, 325.89824741869023, 404.2194794263438, 431.35710052099074, 568.4025386468325, 660.7778468409472, 751.3549118005304, 968.6451299069378, 1020.5226510225389, 1191.7981494418761, 1334.2044143350417, 1429.193996170072, 1526.7303094061162, 1676.3022295982717, 2104.912725811368, 2180.9634594604645, 2288.6443740566488, 2477.5983539978347, 2662.2251268765767, 2803.5454481181077, 2978.957487144456, 3509.87043175117, 3840.336958081998, 4539.766140187867]","[0.0, 0.03922866761023942, 0.07712339472069683, 0.12110909411439226, 0.14822669890465923, 0.24985185133231072, 0.32059108937935876, 0.3602681587253185, 0.5265337152415208, 0.5833347816376081, 0.598738710700116, 0.7225303909460308, 0.7800738793306957, 0.888834870218785, 1.1226812580477454, 1.179041527887151, 1.3367024992085699, 1.3453242402751981, 1.4428753908977519, 1.490625539125531, 1.6028705690976006, 1.7156559250900054, 1.7431318748800804, 1.8116223194691456, 1.9034158640848107, 1.93689307038198, 1.9751836103665528, 1.9775310083261433]",681.398566487123,285.65985193380897,8189.297816888221,3519.7463859120026,1950.113637676045,0.03225806451612903,0.4192257894032528,0.3876892472505181,0.16662818441562868,0.5540494751216999,0,1,1
POLSKA,12,18,3.0,0.2727272727272727,4,0.2727272727272727,2.1363636363636362,0.8856834997379079,0.14722222222222223,0.15954700534193753,0.01515151515151515,0.35303030303030297,0.1136363636363636,0.05808080808080807,0.19191919191919193,0.1186868686868687,0.5732323232323233,"[1, 2, 6, 7, 11, 12]",6,"[3, 4, 5, 8, 9, 10]",6,1042.9338047207943,0.6380203131096402,1.8531317859487837,172.3365710583071,0.2141172052728479,(0.21863736979166673+0j),"[-4.919549839952836e-14, 172.33657105830392, 201.94291753857095, 512.7178721421762, 679.233631114118, 692.6163008075571, 874.7732673797196, 948.0113093451611, 985.082134595365, 1160.8728823031543, 1875.0113392008316, 2053.3502782578425]","[0.0, 0.21411720527284744, 0.31814440868116844, 0.6626137480332428, 0.7952631287501978, 1.0131934005173302, 1.0565877400364143, 1.2938303459177762, 1.4073763130670784, 1.6175171504791934, 1.7682247732959686, 1.8531317859487815]",282.10968065952216,106.52801395430937,1216.2895607609162,558.7865648439155,284.57527567551244,0.05555555555555557,0.37761204686512656,0.23952259315073807,0.11004123635285952,0.5092736539845087,0,1,1
NOBELEU,28,41,2.9285714285714284,0.10846560846560846,8,0.10846560846560846,3.560846560846561,1.6515989759970873,0.0,0.0,0.002849002849002849,0.33668073317196123,0.09849409849409849,0.01675485008818342,0.19552684621606928,0.08684991611820879,0.3760613504661115,[11],1,"[8, 16, 19, 23]",4,2297.4213489472436,0.6597609626958494,1.9445418840071929,85.61226112588625,0.04764707969934931,(0.2132726128472222+0j),"[-1.9722111616850684e-12, 85.6122611258851, 211.04806205338596, 256.2080384637114, 533.2946714605861, 644.656841128012, 747.3278972454092, 871.2510294799959, 950.1959432599704, 1156.599895930512, 1175.5326241493076, 1280.240245333629, 1301.4289261139209, 1509.09578171818, 1738.1590964878067, 1824.2640625528518, 2026.6560869562395, 2115.7804867032855, 2244.4514216349, 2366.9156397789234, 2523.344005661642, 2821.3316810994243, 2902.8955241720964, 3283.643276355958, 3460.4976385201594, 3740.474893991036, 4324.338976411119, 4923.320179683555]","[0.0, 0.04764707969935064, 0.11682119918531875, 0.14959213124156892, 0.33599030719020334, 0.41653034559402863, 0.5094837479146709, 0.514902075548115, 0.581763432745211, 0.6758967958884196, 0.7807328667365406, 0.8186280565026465, 0.9323689818072362, 0.9775799060880066, 0.9954956936166108, 1.0753271431890872, 1.1121313753245108, 1.2042111947618102, 1.2747498318913848, 1.394327642412172, 1.470766169020061, 1.589343811066058, 1.7260056331253066, 1.7776606883318893, 1.8170616469948448, 1.839502270867268, 1.9209380892504933, 1.9445418840071942]",622.1776242374574,256.86779815712083,5045.616241866526,1983.838165760976,1041.9719640440765,0.024390243902439025,0.4128528384027611,0.19779530150744282,0.07776926530455003,0.5252303247449566,0,1,1
